# family|sentiment|persona|tags|text
d001|u|st|-|headphone ka left side se awaaz nahi aa rahi, box khola tabhi se
d001|u|st|nn|earphone ka ek side kaam nahi kar raha, naya hi aaya hai
d001|u|st|-|bro earbuds ka ek bud dead hai unboxing se
d002|n|ar|-|phir se toota hua saman bheja, ye teesri baar hai 😡
d002|n|ar|af|har baar damaged item, tang aa gaya hu aapki packing se
d002|n|ar|-|dobara toota piece, dimag kharab kar diya
d003|u|el|-|beta chashma ka frame toota hua aaya hai
d003|u|el|-|chashme ki dandi tooti hui hai dibbe mein
d004|p|pro|pr|aapka customer service hamesha top raha hai, is baar laptop pe dent aaya hai, replacement chahiye
d004|p|pro|pr|great platform 👍 bas monitor ki screen pe crack hai, replace kar dijiye
d005|u|sk|-|20 mein se 4 bottle leak ho gayi transport mein
d005|u|sk|-|carton mein 4 bottle phooti hui mili, dukaan ka maal hai
d006|u|gen|ns|refund nahi chahiye, bas toota hua jar replace kar do
d006|u|gen|ns|paise wapas mat karo, same item dobara bhejo jo toota tha
d007|u|gen|nn|box bahar se theek tha par andar glass toot gaya, dikh nahi raha tha
d007|u|gen|nn|bahar se koi damage nahi tha, andar item cracked nikla
d008|p|gen|ng|koi badi baat nahi, thoda scratch hai, exchange ho jaye toh accha
d008|p|gen|ng|gussa nahi hu, bas mug ka handle tooti hai, replace kar dena please 🙂
d009|n|gen|af|naya phone aur screen pe line, mood kharab ho gaya
d009|n|gen|af|itne paise diye aur tooti cheez aayi, bahut dukhi hu
d010|u|hw|-|mixer ka jar leak kar raha hai pehli baar mein hi
d010|u|hw|-|mixer jar se paani tapak raha hai, naya hai
d011|p|gen|af|damaged kettle ka replacement 1 din mein aa gaya, sukoon mila
d011|p|gen|-|toote item ka exchange bahut fast hua, thank you team
d012|n|sk|-|pura carton geela aur saman kharab, kaun bharega nuksaan
d012|n|sk|-|baarish mein bheega maal bheja, sab kharab, ghatiya logistics
d013|u|pro|-|product serial number mismatch aur body pe crack hai, RMA initiate kijiye
d013|u|pro|-|device pe crack hai, return merchandise authorization chahiye
d014|u|gen|mx|toota hua lamp aaya hai, replacement nahi mil sakta toh refund kar do
d014|u|gen|mx|lamp broken hai, naya bhejo warna paise lautao
d015|n|gen|-|photo bheji thi damage ki, bol rahe "no damage visible", andhe ho kya
d015|n|gen|-|damage ki 5 photo bheji fir bhi claim reject, bakwaas
d016|u|el|-|dawai ki shishi tooti hui aayi, sab bikhar gaya
d016|u|el|-|syrup ki bottle phooti hui thi, dabba geela hai
d017|p|hw|pr|aapke kapde hamesha acche hote hain, is baar kurti ki silai udhdi hui hai, badal dijiye
d017|p|hw|pr|quality usually mast hoti hai 😊 bas saree mein ched hai, exchange karna hai
d018|u|gen|-|shoe ka sole nikla hua hai, pehna bhi nahi
d018|u|gen|nn|joote ka sole alag hai, ek baar bhi nahi pehna
d019|n|ar|-|expired biscuit bheje, bacche ne kha liya, ye laparwahi hai
d019|n|ar|af|expiry wala khana bheja, bahut gussa aa raha hai
d020|u|st|ns|return mat lena, sirf toota charger replace karo
d020|u|st|ns|poora order wapas nahi karna, bas cable kharab hai woh badlo
d021|p|st|ng|koi problem nahi, replacement jaldi aa gaya, bas pehla piece kharab tha
d021|p|st|ng|bina hassle ke damaged item badal diya, legit
d022|u|gen|nn|charger se phone charge nahi ho raha, naya hai
d022|u|gen|nn|adapter kaam nahi kar raha, light bhi nahi jalti
d023|n|gen|-|packaging itni kamzor thi ki TV ka corner toot gaya
d023|n|gen|-|TV bina bubble wrap ke bheja, screen tooti, shameful
d024|u|sk|-|glass ke 12 gilas mein 3 toote hue hain
d024|u|sk|-|crockery set mein kuch piece chatke hue hain
d025|p|pro|af|damaged monitor ka pickup aur replacement same week, prabhavit hu
d025|p|pro|-|replacement process was smooth, thank you for handling the damaged unit
d026|n|el|af|beta itni mehngi cheez tooti hui aayi, dil baith gaya
d026|n|el|-|budhe aadmi ko toota saman bhej diya, sharam nahi aati
d027|u|gen|-|photo kahan upload karu damage ki
d027|u|gen|-|damage claim ke liye image kaise bhejun
