# family|sentiment|persona|tags|text
f001|p|st|-|app ka naya design mast hai, use karne mein maza aata hai
f001|p|st|-|new UI bahut clean hai yaar, love it
f001|p|st|af|naya app update dekh ke dil khush ho gaya
f002|n|ar|-|har order mein kuch na kuch gadbad, aapki service bilkul bharosemand nahi
f002|n|ar|af|itni baar dhokha mila ki ab nafrat ho gayi hai is app se
f002|n|ar|-|worst service, 5 saal se use kar raha hu ab band
f003|u|el|-|beta app mein font thoda bada kar do, humein padhne mein dikkat hoti hai
f003|u|el|nn|akshar chhote hain, padhne mein nahi aate, suggestion hai
f004|p|pro|-|customer support ka response time impressive hai, keep it up
f004|p|pro|-|support team kaafi professional hai, accha experience raha
f005|u|sk|-|seller dashboard mein GST report ka option chahiye
f005|u|sk|-|dukaan walon ke liye bulk discount ka feature dal do
f006|n|gen|-|delivery boy ne bahut rude baat ki, aisa behaviour theek nahi
f006|n|gen|af|rider ki badtameezi dekh ke mood kharab ho gaya
f007|p|gen|ng|koi shikayat nahi, sab kuch perfect tha
f007|p|gen|ng|ek bhi problem nahi aayi, bahut accha experience
f007|p|gen|ng|zara bhi dikkat nahi hui is baar, well done
f008|u|gen|nn|kuch khaas nahi, normal experience tha
f008|u|gen|nn|na accha laga na bura, theek thaak
f009|n|gen|-|app har thodi der mein hang hota hai, bekar experience
f009|n|gen|af|app itna slow hai ki chidh aati hai
f010|p|hw|-|sabzi ekdum taazi aur saaf thi, bahut accha laga
f010|p|hw|af|fruits dekh ke mann prasann ho gaya, bahut badiya
f011|u|hw|-|order karte waqt delivery slot choose karne ka option hona chahiye
f011|u|hw|-|suggestion hai ki time slot select karne do
f012|n|sk|-|commission itna zyada hai ki chhote dukaandar kaise bachenge
f012|n|sk|af|platform fees dekh ke nirash hu, chhote seller ke saath anyaay hai
f013|p|el|-|beta aapke delivery wale bhaiya ne bahut izzat se baat ki, dhanyavaad
f013|p|el|-|bahut sanskari ladka tha delivery wala, aashirwad
f014|u|pro|-|feedback: invoice mein company ka GSTIN field optional hona chahiye
f014|u|pro|-|B2B customers ke liye proper tax invoice format add kijiye
f015|n|ar|-|customer care sirf "sorry for inconvenience" bolta hai, kaam kuch nahi
f015|n|ar|-|copy paste sorry se kya hoga, support bilkul useless hai 😒
f016|p|gen|pr|aapki service bahut acchi hai, bas ek feedback hai ki dark mode add karo
f016|p|gen|pr|love the app ❤️ ek suggestion, wishlist share karne ka option do
f017|u|gen|-|rating dene ka option kahan hai
f017|u|gen|-|mujhe review likhna hai, kaise karu
f018|n|gen|-|packing mein itna plastic, environment ka bhi socho
f018|n|gen|-|har chhoti cheez ke liye bada dabba, bahut wastage, accha nahi laga
f019|p|st|af|student discount mil gaya, maza aa gaya bro
f019|p|st|-|student offer ke liye thanks, bahut helpful
f020|u|gen|nn|mujhe koi complaint nahi hai, bas suggestion dena tha ki cod limit badhao
f020|u|gen|nn|shikayat nahi hai, ek idea tha ki reorder button upar rakho
f021|n|el|-|itne sare ads aate hain app mein, humein samajh nahi aata kya dabayein
f021|n|el|af|ads se pareshan ho gaye hain beta, bahut ulajhan hoti hai
f022|p|pro|ng|koi delay nahi, koi damage nahi, bilkul professional delivery
f022|p|pro|ng|zero issues this time, bina kisi galti ke sab aaya
f023|u|sk|-|hamare area mein delivery partner kam hain, badhane chahiye
f023|u|sk|-|chhote shehar mein bhi same day delivery shuru karo
f024|n|gen|-|discount dikhake checkout pe price badha dete ho, ye galat hai
f024|n|gen|-|fake discount ka natak band karo, customers bewakoof nahi hain
f025|p|hw|pr|aap log bahut acche ho, bas ek request hai ki atta ke bade pack bhi rakho
f025|p|hw|pr|grocery quality top class 👌 bas organic section badhao
f026|u|gen|-|feedback form bhara hai, dekh lena
f026|u|gen|-|survey fill kar diya, bas bata raha tha
f027|n|gen|af|support chat pe bot se baat karke sar dard ho gaya
f027|n|gen|-|bot sirf gol gol ghumata hai, insaan se baat karwao
f028|p|gen|af|delivery bhaiya ne baarish mein bhi time pe diya, prabhavit hu
f028|p|gen|-|baarish mein bhi on time delivery, salute hai team ko 🙏
f029|u|el|-|humein hindi mein app chahiye, english samajh nahi aati
f029|u|el|nn|angrezi nahi aati humein, bhasha badalne ka option hai kya
f030|n|st|-|app ke notification bahut zyada hain, irritating
f030|n|st|af|din bhar notification, irritate ho gaya hu
f031|p|gen|-|best app for groceries, har baar satisfied
f031|p|gen|ng|mera favourite shopping app, kabhi nirash nahi kiya
f032|u|pro|ns|refund ya compensation nahi chahiye, bas feedback dena tha ki delivery window chhoti karo
