# family|sentiment(p/n/u)|persona|tags|text
# personas: st student, el elderly, sk shopkeeper, ar angry repeat customer, pro professional, hw homemaker, gen generic
# tags: ns negation scope, nn neutral with nahi, ng negated negative, af varied affect word, pr praise-then-request, mx mixed intent (label = main request), - none
c001|u|st|-|hostel ka address galat daal diya, pls ye order cancel kr do
c001|u|st|-|galat hostel address pe order chala gaya, cancel karna padega
c001|u|st|-|bro address galat hai hostel wala, order cancel krdo na
c002|u|el|-|beta mujhse galti se do baar dawai ka order ho gaya hai, ek wala cancel kar dijiye
c002|u|el|-|bhaiya do baar order lag gaya dawai ka, kripya ek radd kar dijiye
c003|u|sk|-|dukaan ke liye 20 packet mangwaye the, supplier se mil gaye, online wala order cancel karo
c003|u|sk|-|shop ka maal local supplier se aa gaya, isliye ye bulk order cancel kar dena
c004|n|ar|-|teesri baar bol raha hu order cancel karo, kitni baar likhna padega 😡
c004|n|ar|-|3rd time request daal raha cancel ki, koi sunta hi nahi kya
c004|n|ar|af|har baar cancel ke liye message karo aur kuch hota nahi, tang aa gaya hu
c005|p|pro|pr|app ka experience hamesha smooth raha hai, bas is baar meeting ki wajah se order cancel karna hai
c005|p|pro|pr|aapki service hamesha top rahi hai 👍 abhi plan badal gaya, order cancel kar dijiye
c006|u|hw|-|mehmaan aane wale the, program cancel ho gaya, sabzi ka order bhi cancel kar do
c006|u|hw|-|guest ka plan radd ho gaya toh grocery order ki zarurat nahi, cancel kar dijiye
c007|u|gen|ns|order track mat karo, bas cancel karke confirm kar do
c007|u|gen|ns|mujhe tracking nahi chahiye, seedha cancel karo order
c008|u|gen|nn|kal ghar pe koi nahi rahega, isliye ye order cancel kar dena
c008|u|gen|nn|kal main shehar mein nahi hu, parcel lene wala koi nahi, order cancel please
c009|p|gen|ng|koi problem nahi hui cancel karne mein, bas refund ka mail bhi aa jaye toh badhiya 🙏
c009|p|gen|ng|cancel bina kisi dikkat ke ho gaya, shukriya team
c010|n|gen|af|cancel button dabate dabate pareshan ho gaya, order abhi bhi active dikh raha hai
c010|n|gen|af|order cancel nahi ho raha aur main bahut pareshaan hu
c011|u|st|-|exam ki wajah se ghar ja raha hu, order cancel krna h
c011|u|st|-|sem break pe ghar jaana hai toh ye parcel cancel kar do bhai
c012|u|el|-|mujhe ye phone chalana nahi aata, beta order wapas le lo, cancel kar do
c012|u|el|nn|smartphone mere kaam ka nahi hai, order cancel karwana hai
c013|n|sk|-|bhai 2 din se dispatch nahi hua, dukaan ka nuksaan ho raha, order cancel karo
c013|n|sk|af|maal time pe nahi bheja toh customer chale gaye, dukhi hu, order cancel karo
c014|u|pro|-|kindly cancel order no 88213, requirement change ho gayi hai
c014|u|pro|-|order 88213 ko cancel karna hai please, project scope badal gaya
c015|u|gen|-|size chart dekha toh galat size order ho gaya, cancel krna
c015|u|gen|-|galti se XL daal diya, M chahiye tha, ye order cancel kr do
c016|p|hw|pr|pichhli baar ki delivery bahut acchi thi, iss baar ka order cancel karna hai kyunki mummy ne mangwa liya
