# family|sentiment|persona|tags|text
t001|u|st|-|bhai mera parcel kidhar pahuncha, hostel gate pe wait kar raha
t001|u|st|-|parcel abhi kaha h, main gate pe khada hu
t001|u|st|-|delivery boy kitni der mein aayega hostel pe
t002|u|el|-|beta humara saman kab tak aayega, ghar pe koi nahi hai dopahar mein
t002|u|el|nn|dopahar mein ghar pe koi nahi hoga, delivery shaam ko ho sakti hai kya
t003|n|ar|-|4 din se "arriving today" dikha raha hai, ye kya mazaak hai 😡
t003|n|ar|-|roz bolte ho aaj aayega, kabhi aata nahi, jhoothe
t003|n|ar|af|roz ka wahi status, tang aa chuka hu
t004|p|pro|pr|delivery hamesha time pe hoti hai aapki, bas ye bata dijiye aaj kitne baje tak aayega
t004|p|pro|pr|aapki logistics kamaal ki hai 👍 aaj ka delivery slot bata denge?
t005|u|sk|-|dukaan pe maal chahiye kal subah tak, parcel kahan tak pahuncha
t005|u|sk|-|shop ka stock khatam hai, shipment ka current status bhejo
t006|u|gen|ns|order cancel mat karna, bas location bata do
t006|u|gen|ns|cancel nahi karna hai, sirf tracking details chahiye
t006|u|gen|ns|mujhe cancel nahi karna, parcel kahan hai ye batao
t007|u|gen|nn|tracking link khul nahi raha, status bata sakte ho
t007|u|gen|nn|link pe kuch load nahi hota, order kahan hai
t008|p|gen|ng|koi deri nahi hui ab tak, bas confirm karna tha aaj aa jayega na
t008|p|gen|ng|sab time pe chal raha hai, koi shikayat nahi, bas delivery time bata do
t009|n|gen|af|parcel ki location 3 din se ek hi jagah atki hai, bahut pareshan hu
t009|n|gen|-|3 din se same hub pe pada hai mera parcel, koi dekhta bhi hai
t010|u|hw|-|rakhi ka gift bheja hai bhai ko, kab tak pahunchega
t010|u|hw|-|rakhi se pehle pahunch jayega na parcel, date bata do
t011|p|st|af|live tracking dekh ke maza aa gaya, bas ETA thoda update kar do
t011|p|st|-|tracking feature op hai bro, delivery kitne baje tak hogi
t012|n|sk|-|courier wala phone nahi utha raha, maal kahan hai kisi ko pata nahi
t012|n|sk|-|delivery agent ka number band, dukaan ka order kahan gaya
t013|u|pro|-|please share AWB number and courier partner name
t013|u|pro|-|courier partner kaun hai aur AWB kya hai, share kijiye
t014|u|gen|mx|parcel kahan hai batao, late hua toh cancel kar dunga
t014|u|gen|mx|agar kal tak nahi aaya toh cancel karna padega, abhi status batao
t015|n|gen|-|delivery date 3 baar badal di, koi reason bhi nahi bataya
t015|n|gen|af|har din nayi date, sar dard ho gaya hai
t016|u|el|-|beta yeh tracking kaise dekhte hain, humein samajh nahi aata
t016|u|el|nn|mujhe app chalana nahi aata, order kahan hai phone pe bata dijiye
t017|p|hw|pr|pichhli baar sabzi 10 minute pehle aa gayi thi, bahut accha laga, aaj wala order kab tak aayega
t017|p|hw|pr|aap log bahut fast ho 😊 aaj ka grocery order kahan tak pahuncha
t018|u|gen|-|out for delivery kab tak rahega
t018|u|gen|-|out for delivery dikha raha subah se, kitne baje aayega
t019|n|ar|-|pichhle order mein bhi yahi hua tha, parcel gayab, ab ye bhi kahin atka hai
t019|n|ar|-|har baar tracking kharab, har baar late, ghatiya logistics
t020|u|gen|ns|refund mat karo abhi, pehle dhundho parcel kahan hai
t020|u|gen|ns|paise wapas nahi chahiye, mujhe mera parcel chahiye, kahan hai
t021|u|st|-|delivery otp kab aayega mobile pe
t021|u|st|nn|otp abhi tak nahi aaya, delivery kab hogi
t022|p|gen|ng|delivery boy ne ek baar bhi pareshan nahi kiya, bas bata do kitne baje aayenge
t022|p|gen|ng|bina hassle ke tracking chal rahi hai, bas final time confirm karo
t023|n|gen|-|warehouse se nikla hi nahi 6 din se, kya kar rahe ho tum log
t023|n|gen|-|6 din se "packed" pe atka hai, bekar service 😒
t024|u|sk|-|ek saath 5 parcel aane the, sirf 2 ka tracking dikh raha, baaki kahan hain
t024|u|sk|nn|baaki 3 parcel ka tracking number nahi mila, status batao
t025|u|pro|-|delivery address update ho sakta hai kya, office pe chahiye parcel
t025|u|pro|-|parcel ghar ki jagah office bhijwana hai, kya route change hoga
t026|p|el|-|bahut acche log ho aap, humara parcel kal pahunch jayega na beta
t026|p|el|-|aapne itne pyaar se samjhaya, dhanyavaad, bas bata dijiye kab aayega
t027|n|gen|af|delivery late hone se party kharab ho gayi, mood off hai, parcel kahan hai
t027|n|gen|-|birthday nikal gaya, gift abhi tak nahi aaya, kya fayda
t028|u|gen|-|tracking me "in transit" hai 2 din se, normal hai kya
t028|u|gen|-|in transit ka matlab kab tak aayega approx
